conglome,vivienda,hogar,codperso,ing_laboral,internet,uso_avanzado,joven,mujer
015031,087,11,01,18598,1,1,0,0
015031,096,11,03,13134,1,1,1,0
015032,018,11,01,2596,1,1,0,1
015032,044,11,02,9571,1,1,0,1
015032,073,11,01,5144,1,0,0,0
015032,087,11,01,5699,1,0,0,0
015032,087,11,03,8030,1,0,0,0
015033,011,11,01,2414,1,0,0,1
015033,037,11,01,7023,1,0,0,0
015033,037,11,02,24257,1,1,0,1
015033,073,11,01,5793,1,1,0,0
015033,085,11,01,6758,1,1,0,0
015035,018,11,02,22398,1,1,0,1
015035,088,11,01,1318,1,0,0,1
015035,133,11,01,8300,0,0,0,0
015036,008,11,01,13460,1,1,0,1
015036,008,11,02,419,1,1,1,0
015036,042,11,01,5145,1,0,0,0
015036,066,11,01,4786,1,1,1,0
015036,074,11,01,28714,1,1,0,0
015036,074,11,02,27817,1,1,0,1
015037,008,11,02,9836,1,1,0,1
015038,002,12,01,27687,1,1,0,0
015038,002,12,02,29006,1,1,0,1
015038,002,22,01,29964,1,1,0,1
015038,020,11,01,16181,1,1,0,0
015038,020,11,02,29425,1,1,0,1
015038,055,11,02,7014,1,0,0,0
015038,090,11,01,5214,1,1,0,0
015038,090,11,02,32002,1,1,0,1
015038,108,11,01,35957,1,1,0,0
015038,108,11,02,14023,1,1,0,1
015038,108,11,03,21335,1,1,1,0
015038,126,11,03,17080,1,1,0,0
015038,126,11,04,23972,1,1,0,1
015039,070,11,01,11024,1,1,0,1
015040,021,11,01,4278,1,1,1,0
015040,046,12,01,23316,1,1,0,0
015040,046,12,03,14339,1,1,1,1
015040,110,11,01,18598,1,1,0,0
015040,132,11,01,6145,1,1,0,1
015041,004,11,03,21401,1,1,1,0
015041,028,11,02,7214,1,0,0,1
015041,028,11,03,4809,1,1,1,0
015041,049,11,01,6011,1,1,0,0
015041,049,11,02,3727,1,1,0,1
015041,049,11,03,6432,1,1,1,0
015041,096,11,01,10700,1,1,0,0
015041,096,11,02,6432,1,1,1,1
015041,141,11,01,5410,1,1,0,0
015042,019,11,01,4315,1,0,0,0
015042,039,11,01,5715,1,1,0,1
015042,140,11,01,37336,1,1,0,0
015044,002,11,03,9137,1,1,0,0
015044,073,11,01,4268,1,1,0,1
015045,008,11,01,5749,1,1,0,1
015045,018,11,01,14006,1,1,0,0
015045,018,11,02,3593,1,1,0,1
015045,029,11,01,11150,1,1,0,0
015045,029,11,02,35636,1,1,0,1
015045,059,11,01,19448,1,1,0,0
015045,069,11,01,7426,0,0,0,0
015046,002,11,01,10452,1,1,0,1
015046,110,11,01,21445,1,1,0,1
015048,002,11,01,41560,1,1,0,0
015048,002,11,02,11978,1,1,0,1
015048,015,22,02,7316,1,1,1,1
015048,051,11,02,5203,1,1,0,0
015048,099,11,01,15789,1,1,1,0
015049,002,11,01,1196,1,0,0,0
015049,012,11,01,13987,1,1,1,0
015049,017,11,01,16060,1,1,0,0
015049,024,11,02,2849,1,0,0,1
015049,026,11,02,5922,1,1,1,0
015049,032,11,01,6820,1,0,0,0
015050,074,11,01,15991,1,1,0,0
015050,074,11,02,11782,1,1,0,1
015050,097,11,01,33724,1,1,0,1
015050,097,11,02,29336,1,1,0,0
015050,142,11,01,12804,1,1,0,1
015050,188,11,01,8777,1,1,1,0
015050,188,11,02,11903,1,1,1,1
015051,040,11,01,9871,1,1,0,0
015051,040,11,03,1818,1,1,1,1
015051,090,11,01,14028,1,0,0,0
015051,106,11,01,5975,1,0,0,0
015051,123,11,01,959,1,0,0,0
015052,012,11,01,7072,1,0,0,0
015052,023,11,01,17171,1,1,0,0
015052,053,11,02,5543,1,1,0,0
015052,064,11,01,13978,1,1,0,1
015052,064,11,02,2651,1,1,1,1
015053,060,11,02,4072,1,1,0,1
015053,106,11,01,12037,1,1,0,0
015053,106,11,02,15990,1,1,1,1
