conglome,vivienda,hogar,codperso,edad,ing_laboral,internet,uso_avanzado,horas_semanales,edad2,mujer
015025,140,11,03,31,14056,1,0,48,961,0
015025,140,11,04,25,5346,1,1,56,625,1
015026,035,11,01,55,30866,1,1,58,3025,0
015026,052,11,02,36,11138,1,1,40,1296,1
015027,015,11,01,41,5346,1,0,77,1681,1
015027,025,11,01,52,5526,1,1,66,2704,1
015027,101,11,01,23,15378,1,1,72,529,0
015028,009,11,01,43,5879,1,1,54,1849,1
015028,021,11,01,66,3600,1,0,45,4356,0
015028,021,11,02,37,12839,1,1,48,1369,0
015028,021,11,03,30,16596,1,1,45,900,0
015028,086,11,01,34,21401,1,1,44,1156,0
015029,003,11,01,65,1448,1,0,71,4225,1
015029,003,11,02,35,20637,1,1,46,1225,0
015029,036,11,01,41,7000,1,1,75,1681,1
015029,047,11,01,58,20878,1,1,40,3364,0
015029,047,11,02,51,48817,1,1,30,2601,1
015029,047,11,03,24,13275,1,1,40,576,0
015029,068,11,01,53,30050,1,1,50,2809,1
015029,068,11,02,23,7543,1,1,42,529,1
015030,082,11,01,51,13894,1,1,48,2601,1
015030,082,11,02,44,27847,1,1,69,1936,0
015031,017,11,01,41,11263,1,1,48,1681,0
015031,087,11,01,47,18598,1,1,47,2209,0
015031,096,11,03,29,13134,1,1,48,841,0
015032,018,11,01,42,2596,1,1,18,1764,1
015032,044,11,02,37,9571,1,1,48,1369,1
015032,073,11,01,60,5144,1,0,55,3600,0
015032,087,11,01,64,5699,1,0,58,4096,0
015032,087,11,03,41,8030,1,0,56,1681,0
015033,011,11,01,66,2414,1,0,62,4356,1
015033,037,11,01,69,7023,1,0,24,4761,0
015033,037,11,02,61,24257,1,1,30,3721,1
015033,073,11,01,38,5793,1,1,54,1444,0
015033,085,11,01,41,6758,1,1,54,1681,0
015035,018,11,02,38,22398,1,1,30,1444,1
015035,088,11,01,73,1318,1,0,30,5329,1
015035,133,11,01,69,8300,0,0,24,4761,0
015036,008,11,01,40,13460,1,1,50,1600,1
015036,042,11,01,63,5145,1,0,55,3969,0
015036,066,11,01,24,4786,1,1,45,576,0
015036,074,11,01,42,28714,1,1,42,1764,0
015036,074,11,02,38,27817,1,1,48,1444,1
015037,008,11,02,41,9836,1,1,60,1681,1
